d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.20000	9.53987	655.63977	25	200	55	18.49111	65.55940	10	48.21299	123.97626	12	16	45.00000	36.40000	0.60000	2.12207	1.16714	2.31869	2.08682	0.10000	3.13197	2.19238	0.10000	5.55066	0.20000	0.60000	1041.47000	1600
0.20100	9.48793	657.12997	25	200	55	18.67649	66.21663	10	48.33425	124.28807	12	16	45.10025	36.51429	0.60300	2.10100	1.15555	2.31869	2.08682	0.10050	3.10869	2.17608	0.10050	5.52788	0.20100	0.60300	1041.47000	1600
0.20200	9.43682	658.62760	25	200	55	18.86278	66.87714	10	48.45611	124.60142	12	16	45.20100	36.62914	0.60600	2.08025	1.14414	2.31869	2.08682	0.10100	3.08574	2.16002	0.10100	5.50543	0.20200	0.60600	1041.47000	1600
0.20300	9.38653	660.13266	25	200	55	19.05001	67.54093	10	48.57858	124.91634	12	16	45.30225	36.74457	0.60900	2.05981	1.13289	2.31869	2.08682	0.10150	3.06314	2.14420	0.10150	5.48333	0.20300	0.60900	1041.47000	1600
0.20400	9.33703	661.64516	25	200	55	19.23815	68.20800	10	48.70165	125.23281	12	16	45.40400	36.86056	0.61200	2.03966	1.12181	2.31869	2.08682	0.10200	3.04087	2.12861	0.10200	5.46156	0.20400	0.61200	1041.47000	1600
0.20500	9.28832	663.16510	25	200	55	19.42723	68.87834	10	48.82532	125.55083	12	16	45.50625	36.97713	0.61500	2.01981	1.11090	2.31869	2.08682	0.10250	3.01892	2.11324	0.10250	5.44011	0.20500	0.61500	1041.47000	1600
0.20600	9.24037	664.69247	25	200	55	19.61722	69.55197	10	48.94961	125.87041	12	16	45.60900	37.09426	0.61800	2.00025	1.10014	2.31869	2.08682	0.10300	2.99729	2.09810	0.10300	5.41898	0.20600	0.61800	1041.47000	1600
0.20700	9.19317	666.22727	25	200	55	19.80814	70.22887	10	49.07449	126.19155	12	16	45.71225	37.21196	0.62100	1.98097	1.08953	2.31869	2.08682	0.10350	2.97597	2.08318	0.10350	5.39816	0.20700	0.62100	1041.47000	1600
0.20800	9.14671	667.76950	25	200	55	19.99999	70.90905	10	49.19998	126.51425	12	16	45.81600	37.33024	0.62400	1.96197	1.07908	2.31869	2.08682	0.10400	2.95496	2.06848	0.10400	5.37765	0.20800	0.62400	1041.47000	1600
0.20900	9.10097	669.31917	25	200	55	20.19276	71.59250	10	49.32608	126.83850	12	16	45.92025	37.44909	0.62700	1.94324	1.06878	2.31869	2.08682	0.10450	2.93426	2.05398	0.10450	5.35745	0.20900	0.62700	1041.47000	1600
