d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.20000	9.82744	667.05345	25	200	55	20.36326	72.19700	10	49.02609	126.06710	12	16	45.00000	36.40000	0.60000	2.12207	1.16714	2.55345	2.29810	0.10000	3.18479	2.22936	0.10000	5.83824	0.20000	0.60000	945.72000	1300
0.20100	9.77551	668.65806	25	200	55	20.56740	72.92078	10	49.15550	126.39986	12	16	45.10025	36.51429	0.60300	2.10100	1.15555	2.55345	2.29810	0.10050	3.16151	2.21305	0.10050	5.81545	0.20100	0.60300	945.72000	1300
0.20200	9.72440	670.27069	25	200	55	20.77256	73.64816	10	49.28555	126.73428	12	16	45.20100	36.62914	0.60600	2.08025	1.14414	2.55345	2.29810	0.10100	3.13856	2.19699	0.10100	5.79301	0.20200	0.60600	945.72000	1300
0.20300	9.67411	671.89131	25	200	55	20.97874	74.37915	10	49.41625	127.07036	12	16	45.30225	36.74457	0.60900	2.05981	1.13289	2.55345	2.29810	0.10150	3.11596	2.18117	0.10150	5.77091	0.20300	0.60900	945.72000	1300
0.20400	9.62461	673.51994	25	200	55	21.18593	75.11376	10	49.54759	127.40810	12	16	45.40400	36.86056	0.61200	2.03966	1.12181	2.55345	2.29810	0.10200	3.09369	2.16558	0.10200	5.74913	0.20400	0.61200	945.72000	1300
0.20500	9.57590	675.15658	25	200	55	21.39415	75.85197	10	49.67958	127.74750	12	16	45.50625	36.97713	0.61500	2.01981	1.11090	2.55345	2.29810	0.10250	3.07174	2.15022	0.10250	5.72769	0.20500	0.61500	945.72000	1300
0.20600	9.52794	676.80122	25	200	55	21.60338	76.59380	10	49.81222	128.08856	12	16	45.60900	37.09426	0.61800	2.00025	1.10014	2.55345	2.29810	0.10300	3.05011	2.13508	0.10300	5.70656	0.20600	0.61800	945.72000	1300
0.20700	9.48075	678.45386	25	200	55	21.81363	77.33923	10	49.94550	128.43129	12	16	45.71225	37.21196	0.62100	1.98097	1.08953	2.55345	2.29810	0.10350	3.02879	2.12016	0.10350	5.68574	0.20700	0.62100	945.72000	1300
0.20800	9.43428	680.11451	25	200	55	22.02490	78.08828	10	50.07943	128.77567	12	16	45.81600	37.33024	0.62400	1.96197	1.07908	2.55345	2.29810	0.10400	3.00778	2.10545	0.10400	5.66523	0.20800	0.62400	945.72000	1300
0.20900	9.38854	681.78317	25	200	55	22.23719	78.84093	10	50.21400	129.12172	12	16	45.92025	37.44909	0.62700	1.94324	1.06878	2.55345	2.29810	0.10450	2.98708	2.09095	0.10450	5.64502	0.20900	0.62700	945.72000	1300
