d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.20000	8.73949	623.87352	25	200	55	13.28060	47.08578	10	45.95000	118.15714	12	16	45.00000	36.40000	0.60000	2.12207	1.16714	1.66532	1.49879	0.10000	2.98497	2.08948	0.10000	4.75029	0.20000	0.60000	1450.08000	800
0.20100	8.68755	625.04527	25	200	55	13.41374	47.55781	10	46.04857	118.41061	12	16	45.10025	36.51429	0.60300	2.10100	1.15555	1.66532	1.49879	0.10050	2.96168	2.07318	0.10050	4.72750	0.20100	0.60300	1450.08000	800
0.20200	8.63645	626.22287	25	200	55	13.54754	48.03220	10	46.14763	118.66534	12	16	45.20100	36.62914	0.60600	2.08025	1.14414	1.66532	1.49879	0.10100	2.93874	2.05712	0.10100	4.70506	0.20200	0.60600	1450.08000	800
0.20300	8.58615	627.40631	25	200	55	13.68201	48.50895	10	46.24719	118.92135	12	16	45.30225	36.74457	0.60900	2.05981	1.13289	1.66532	1.49879	0.10150	2.91613	2.04129	0.10150	4.68295	0.20300	0.60900	1450.08000	800
0.20400	8.53666	628.59560	25	200	55	13.81714	48.98805	10	46.34724	119.17861	12	16	45.40400	36.86056	0.61200	2.03966	1.12181	1.66532	1.49879	0.10200	2.89386	2.02570	0.10200	4.66118	0.20400	0.61200	1450.08000	800
0.20500	8.48794	629.79073	25	200	55	13.95294	49.46950	10	46.44778	119.43715	12	16	45.50625	36.97713	0.61500	2.01981	1.11090	1.66532	1.49879	0.10250	2.87191	2.01034	0.10250	4.63973	0.20500	0.61500	1450.08000	800
0.20600	8.43999	630.99172	25	200	55	14.08939	49.95330	10	46.54881	119.69695	12	16	45.60900	37.09426	0.61800	2.00025	1.10014	1.66532	1.49879	0.10300	2.85028	1.99520	0.10300	4.61860	0.20600	0.61800	1450.08000	800
0.20700	8.39279	632.19854	25	200	55	14.22652	50.43946	10	46.65034	119.95801	12	16	45.71225	37.21196	0.62100	1.98097	1.08953	1.66532	1.49879	0.10350	2.82897	1.98028	0.10350	4.59779	0.20700	0.62100	1450.08000	800
0.20800	8.34633	633.41121	25	200	55	14.36430	50.92798	10	46.75235	120.22034	12	16	45.81600	37.33024	0.62400	1.96197	1.07908	1.66532	1.49879	0.10400	2.80796	1.96557	0.10400	4.57728	0.20800	0.62400	1450.08000	800
0.20900	8.30059	634.62973	25	200	55	14.50275	51.41885	10	46.85486	120.48393	12	16	45.92025	37.44909	0.62700	1.94324	1.06878	1.66532	1.49879	0.10450	2.78725	1.95108	0.10450	4.55707	0.20900	0.62700	1450.08000	800
0.21000	8.25556	635.85410	25	200	55	14.64187	51.91207	10	46.95786	120.74879	12	16	46.02500	37.56850	0.63000	1.92478	1.05863	1.66532	1.49879	0.10500	2.76684	1.93679	0.10500	4.53716	0.21000	0.63000	1450.08000	800
0.21100	8.21123	637.08431	25	200	55	14.78164	52.40765	10	47.06136	121.01492	12	16	46.13025	37.68849	0.63300	1.90658	1.04862	1.66532	1.49879	0.10550	2.74671	1.92270	0.10550	4.51753	0.21100	0.63300	1450.08000	800
0.21200	8.16757	638.32036	25	200	55	14.92209	52.90558	10	47.16534	121.28231	12	16	46.23600	37.80904	0.63600	1.88863	1.03875	1.66532	1.49879	0.10600	2.72688	1.90881	0.10600	4.49819	0.21200	0.63600	1450.08000	800
0.21300	8.12459	639.56227	25	200	55	15.06319	53.40587	10	47.26982	121.55097	12	16	46.34225	37.93017	0.63900	1.87094	1.02902	1.66532	1.49879	0.10650	2.70732	1.89512	0.10650	4.47913	0.21300	0.63900	1450.08000	800
0.21400	8.08226	640.81002	25	200	55	15.20496	53.90851	10	47.37479	121.82089	12	16	46.44900	38.05186	0.64200	1.85349	1.01942	1.66532	1.49879	0.10700	2.68803	1.88162	0.10700	4.46035	0.21400	0.64200	1450.08000	800
0.21500	8.04058	642.06361	25	200	55	15.34740	54.41350	10	47.48025	122.09208	12	16	46.55625	38.17413	0.64500	1.83629	1.00996	1.66532	1.49879	0.10750	2.66901	1.86831	0.10750	4.44183	0.21500	0.64500	1450.08000	800
0.21600	7.99953	643.32305	25	200	55	15.49050	54.92085	10	47.58621	122.36453	12	16	46.66400	38.29696	0.64800	1.81933	1.00063	1.66532	1.49879	0.10800	2.65025	1.85518	0.10800	4.42357	0.21600	0.64800	1450.08000	800
0.21700	7.95911	644.58834	25	200	55	15.63426	55.43056	10	47.69265	122.63825	12	16	46.77225	38.42037	0.65100	1.80260	0.99143	1.66532	1.49879	0.10850	2.63176	1.84223	0.10850	4.40558	0.21700	0.65100	1450.08000	800
0.21800	7.91929	645.85947	25	200	55	15.77869	55.94261	10	47.79959	122.91324	12	16	46.88100	38.54434	0.65400	1.78610	0.98236	1.66532	1.49879	0.10900	2.61352	1.82946	0.10900	4.38784	0.21800	0.65400	1450.08000	800
0.21900	7.88007	647.13645	25	200	55	15.92378	56.45703	10	47.90702	123.18949	12	16	46.99025	38.66889	0.65700	1.76983	0.97340	1.66532	1.49879	0.10950	2.59552	1.81687	0.10950	4.37034	0.21900	0.65700	1450.08000	800
0.22000	7.84144	648.41927	25	200	55	16.06953	56.97379	10	48.01495	123.46700	12	16	47.10000	38.79400	0.66000	1.75377	0.96458	1.66532	1.49879	0.11000	2.57778	1.80444	0.11000	4.35309	0.22000	0.66000	1450.08000	800
0.22100	7.80339	649.70794	25	200	55	16.21595	57.49291	10	48.12336	123.74578	12	16	47.21025	38.91969	0.66300	1.73794	0.95587	1.66532	1.49879	0.11050	2.56027	1.79219	0.11050	4.33609	0.22100	0.66300	1450.08000	800
0.22200	7.76591	651.00246	25	200	55	16.36303	58.01439	10	48.23227	124.02583	12	16	47.32100	39.04594	0.66600	1.72232	0.94727	1.66532	1.49879	0.11100	2.54300	1.78010	0.11100	4.31932	0.22200	0.66600	1450.08000	800
0.22300	7.72898	652.30282	25	200	55	16.51078	58.53822	10	48.34167	124.30714	12	16	47.43225	39.17277	0.66900	1.70690	0.93880	1.66532	1.49879	0.11150	2.52596	1.76817	0.11150	4.30278	0.22300	0.66900	1450.08000	800
0.22400	7.69260	653.60903	25	200	55	16.65919	59.06440	10	48.45156	124.58972	12	16	47.54400	39.30016	0.67200	1.69170	0.93043	1.66532	1.49879	0.11200	2.50914	1.75640	0.11200	4.28646	0.22400	0.67200	1450.08000	800
0.22500	7.65675	654.92109	25	200	55	16.80827	59.59294	10	48.56194	124.87357	12	16	47.65625	39.42813	0.67500	1.67669	0.92218	1.66532	1.49879	0.11250	2.49256	1.74479	0.11250	4.27038	0.22500	0.67500	1450.08000	800
0.22600	7.62143	656.23899	25	200	55	16.95800	60.12383	10	48.67282	125.15867	12	16	47.76900	39.55666	0.67800	1.66189	0.91404	1.66532	1.49879	0.11300	2.47619	1.73333	0.11300	4.25451	0.22600	0.67800	1450.08000	800
0.22700	7.58664	657.56274	25	200	55	17.10841	60.65708	10	48.78419	125.44505	12	16	47.88225	39.68577	0.68100	1.64728	0.90600	1.66532	1.49879	0.11350	2.46004	1.72202	0.11350	4.23885	0.22700	0.68100	1450.08000	800
0.22800	7.55235	658.89233	25	200	55	17.25947	61.19268	10	48.89605	125.73269	12	16	47.99600	39.81544	0.68400	1.63286	0.89807	1.66532	1.49879	0.11400	2.44410	1.71087	0.11400	4.22341	0.22800	0.68400	1450.08000	800
0.22900	7.51856	660.22777	25	200	55	17.41120	61.73063	10	49.00840	126.02160	12	16	48.11025	39.94569	0.68700	1.61863	0.89025	1.66532	1.49879	0.11450	2.42836	1.69985	0.11450	4.20818	0.22900	0.68700	1450.08000	800
0.23000	7.48526	661.56906	25	200	55	17.56360	62.27094	10	49.12124	126.31177	12	16	48.22500	40.07650	0.69000	1.60459	0.88252	1.66532	1.49879	0.11500	2.41284	1.68898	0.11500	4.19315	0.23000	0.69000	1450.08000	800
0.23100	7.45245	662.91619	25	200	55	17.71666	62.81361	10	49.23458	126.60321	12	16	48.34025	40.20789	0.69300	1.59072	0.87490	1.66532	1.49879	0.11550	2.39751	1.67826	0.11550	4.17833	0.23100	0.69300	1450.08000	800
0.23200	7.42011	664.26917	25	200	55	17.87038	63.35863	10	49.34841	126.89591	12	16	48.45600	40.33984	0.69600	1.57704	0.86737	1.66532	1.49879	0.11600	2.38238	1.66767	0.11600	4.16370	0.23200	0.69600	1450.08000	800
0.23300	7.38824	665.62799	25	200	55	18.02477	63.90600	10	49.46273	127.18988	12	16	48.57225	40.47237	0.69900	1.56353	0.85994	1.66532	1.49879	0.11650	2.36745	1.65721	0.11650	4.14927	0.23300	0.69900	1450.08000	800
0.23400	7.35683	666.99266	25	200	55	18.17982	64.45572	10	49.57754	127.48511	12	16	48.68900	40.60546	0.70200	1.55020	0.85261	1.66532	1.49879	0.11700	2.35270	1.64689	0.11700	4.13502	0.23400	0.70200	1450.08000	800
0.23500	7.32587	668.36318	25	200	55	18.33553	65.00780	10	49.69285	127.78161	12	16	48.80625	40.73913	0.70500	1.53703	0.84537	1.66532	1.49879	0.11750	2.33815	1.63670	0.11750	4.12097	0.23500	0.70500	1450.08000	800
