d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.20000	8.80674	626.54278	25	200	55	13.71843	48.63809	10	46.14015	118.64611	12	16	45.00000	36.40000	0.60000	2.12207	1.16714	1.72022	1.54820	0.10000	2.99732	2.09812	0.10000	4.81754	0.20000	0.60000	1403.80000	1000
0.20100	8.75481	627.74129	25	200	55	13.85596	49.12568	10	46.24063	118.90448	12	16	45.10025	36.51429	0.60300	2.10100	1.15555	1.72022	1.54820	0.10050	2.97403	2.08182	0.10050	4.79475	0.20100	0.60300	1403.80000	1000
0.20200	8.70370	628.94578	25	200	55	13.99418	49.61571	10	46.34161	119.16414	12	16	45.20100	36.62914	0.60600	2.08025	1.14414	1.72022	1.54820	0.10100	2.95109	2.06576	0.10100	4.77231	0.20200	0.60600	1403.80000	1000
0.20300	8.65341	630.15625	25	200	55	14.13307	50.10817	10	46.44309	119.42509	12	16	45.30225	36.74457	0.60900	2.05981	1.13289	1.72022	1.54820	0.10150	2.92849	2.04994	0.10150	4.75021	0.20300	0.60900	1403.80000	1000
0.20400	8.60391	631.37270	25	200	55	14.27266	50.60307	10	46.54508	119.68734	12	16	45.40400	36.86056	0.61200	2.03966	1.12181	1.72022	1.54820	0.10200	2.90621	2.03435	0.10200	4.72843	0.20400	0.61200	1403.80000	1000
0.20500	8.55520	632.59512	25	200	55	14.41293	51.10039	10	46.64756	119.95087	12	16	45.50625	36.97713	0.61500	2.01981	1.11090	1.72022	1.54820	0.10250	2.88427	2.01899	0.10250	4.70699	0.20500	0.61500	1403.80000	1000
0.20600	8.50725	633.82353	25	200	55	14.55389	51.60015	10	46.75055	120.21569	12	16	45.60900	37.09426	0.61800	2.00025	1.10014	1.72022	1.54820	0.10300	2.86264	2.00385	0.10300	4.68586	0.20600	0.61800	1403.80000	1000
0.20700	8.46005	635.05792	25	200	55	14.69553	52.10234	10	46.85403	120.48180	12	16	45.71225	37.21196	0.62100	1.98097	1.08953	1.72022	1.54820	0.10350	2.84132	1.98892	0.10350	4.66504	0.20700	0.62100	1403.80000	1000
0.20800	8.41358	636.29828	25	200	55	14.83786	52.60696	10	46.95802	120.74920	12	16	45.81600	37.33024	0.62400	1.96197	1.07908	1.72022	1.54820	0.10400	2.82031	1.97422	0.10400	4.64453	0.20800	0.62400	1403.80000	1000
0.20900	8.36785	637.54463	25	200	55	14.98087	53.11401	10	47.06251	121.01790	12	16	45.92025	37.44909	0.62700	1.94324	1.06878	1.72022	1.54820	0.10450	2.79960	1.95972	0.10450	4.62432	0.20900	0.62700	1403.80000	1000
